Scaling factor	2.6659506944613276
ABBA	0.8256872943825848 0.2745633501292864 0.1710800187678987 0.12499777540000884 0.09868971153908629 0.08161868888655033 0.06962610766557183 0.06073044526354795 0.05386490991053231 0.4124608612515159
AC/DC	0.8256872943825848 0.2745633501292864 0.1710800187678987 0.12499777540000884 0.09868971153908629 0.08161868888655033 0.06962610766557183 0.06073044526354795 -0.15798172969047344 -0.3847949631531294
The Band	0.8256872943825848 0.2745633501292864 0.1710800187678987 0.12499777540000884 0.09868971153908629 0.08161868888655033 0.06962610766557183 -0.402825935194527 0.032596911978034035 -0.11568182584171069
The Waikiki Beach Boys	0.8256872943825848 -0.2968659618749472 0.15149401770686152 0.11433171005843533 0.09196432607940595 0.07698462498826132 0.06623642799889187 0.058141854716945836 -0.40169957274846896 0.10283267512179416
The Beatles	0.8256872943825848 -0.2968659618749472 0.15149401770686152 0.11433171005843533 0.09196432607940595 0.07698462498826132 0.06623642799889187 0.058141854716945836 0.36364861627987394 -0.19924053226374389
Bee Gees	0.3635190162221552 0.7453295644588058 0.26711307417296815 0.16825433800458914 0.12350307550838817 0.09776270910931377 0.08098676464889926 0.06916734603849113 0.060382057941875594 0.4157875910202658
Chuck Berry	0.3635190162221552 0.7453295644588058 0.26711307417296815 0.16825433800458914 0.12350307550838817 0.09776270910931377 0.08098676464889926 0.06916734603849113 -0.1761575962413595 -0.38143651510336296
David Bowie	0.3635190162221552 0.7453295644588058 0.26711307417296815 0.16825433800458914 0.12350307550838817 0.09776270910931377 0.08098676464889926 -0.4033334767216827 -0.0431015372131934 -0.12951370418299288
Jackson Browne	0.3635190162221552 0.7453295644588058 -0.3035382276540056 0.13576158153779616 0.10522130777895382 0.08601068399306865 0.07278474005115224 0.06311270850311321 -0.4022695716426786 0.1104540651529453
Buzzcocks	0.3635190162221552 0.7453295644588058 -0.3035382276540056 0.13576158153779616 0.10522130777895382 0.08601068399306865 0.07278474005115224 0.06311270850311321 0.3586666435560393 -0.21302381927531086
The Byrds	0.3635190162221552 0.2610367603283276 0.7008106391534904 0.26231677077355553 0.16639959823666833 0.12251406584200984 0.0971465958227969 0.08056557310787046 0.06886096582607168 0.419999364909863
The Clash	0.3635190162221552 0.2610367603283276 0.7008106391534904 0.26231677077355553 0.16639959823666833 0.12251406584200984 0.0971465958227969 0.08056557310787046 -0.1993724562332487 -0.37602117338616586
Eddie Cochran	0.3635190162221552 0.2610367603283276 0.7008106391534904 0.26231677077355553 0.16639959823666833 0.12251406584200984 0.0971465958227969 -0.40319600503279873 -0.12658219807449683 -0.09508963858174828
Elvis Costello	0.3635190162221552 0.2610367603283276 0.7008106391534904 0.26231677077355553 -0.3765673907402816 -0.10561304745282371 -0.13172486510376574 -0.17047549526606343 0.1908522467656695 -0.06303224716186884
